PQ659106,"Infectious bronchitis virus isolate CK/CH/LN/2302, complete genome",Infectious bronchitis virus,27683,Infectious bronchitis virus,Jun-2023,CK/CH/LN/2302
MW582820,"Infectious bronchitis virus strain ck/CH/GX/B8/191218, complete genome",Infectious bronchitis virus,27649,Infectious bronchitis virus,18-Dec-2019,Unknown
MW582819,"Infectious bronchitis virus strain ck/CH/GX/B5/191218, complete genome",Infectious bronchitis virus,27649,Infectious bronchitis virus,18-Sep-2020,Unknown
PQ679038,"Infectious bronchitis virus strain CK/CH/JS/GY, complete genome",Infectious bronchitis virus,27590,Infectious bronchitis virus,2023,Unknown
PQ468963,"Infectious bronchitis virus isolate IBV-6/LIU/NC/USA, complete genome",Infectious bronchitis virus,27469,Infectious bronchitis virus,10-Oct-2023,IBV-6/LIU/NC/USA
PQ468962,"Infectious bronchitis virus isolate IBV-4/LIU/NC/USA, complete genome",Infectious bronchitis virus,27475,Infectious bronchitis virus,19-Oct-2023,IBV-4/LIU/NC/USA
PQ133194,"Alphacoronavirus 1 isolate 2-H8 So 8842, complete genome",Alphacoronavirus 1,28470,Alphacoronavirus 1,07-Jun-2023,2-H8 So 8842
PQ133190,"Alphacoronavirus 1 isolate 2-F9 Fe 9265, complete genome",Alphacoronavirus 1,28479,Alphacoronavirus 1,08-Dec-2023,2-F9 Fe 9265
PQ133188,"Alphacoronavirus 1 isolate 2-E9 Mi 9160, complete genome",Alphacoronavirus 1,28476,Alphacoronavirus 1,08-Nov-2023,2-E9 Mi 9160
PQ133185,"Alphacoronavirus 1 isolate 2-D9 Ni 9183, complete genome",Alphacoronavirus 1,28464,Alphacoronavirus 1,08-Oct-2023,2-D9 Ni 9183
PQ133184,"Alphacoronavirus 1 isolate 2-D8 Ta 8364, complete genome",Alphacoronavirus 1,28479,Alphacoronavirus 1,07-Jan-2023,2-D8 Ta 8364
PQ133182,"Alphacoronavirus 1 isolate 2-C11 Re 10276, complete genome",Alphacoronavirus 1,29138,Alphacoronavirus 1,10-Jan-2023,2-C11 Re 10276
PQ133181,"Alphacoronavirus 1 isolate 2-C8 Wi 8299, complete genome",Alphacoronavirus 1,28454,Alphacoronavirus 1,20-Jun-2023,2-C8 Wi 8299
PQ133179,"Alphacoronavirus 1 isolate 2-A9 Do 9045, complete genome",Alphacoronavirus 1,28506,Alphacoronavirus 1,08-Jul-2023,2-A9 Do 9045
PQ133177,"Alphacoronavirus 1 isolate 2-F12 BW 11350, complete genome",Alphacoronavirus 1,28439,Alphacoronavirus 1,01-Nov-2023,2-F12 BW 11350
PQ133176,"Alphacoronavirus 1 isolate 1-F11 Gi 6590, complete genome",Alphacoronavirus 1,28466,Alphacoronavirus 1,15-Apr-2023,1-F11 Gi 6590
PP182443,"Bat coronavirus isolate Hipposideros/GhanaBUO/F348/2008, complete genome",Bat coronavirus,30122,Bat coronavirus,2008,Hipposideros/GhanaBUO/F348/2008
PP182442,"Bat coronavirus isolate Hipposideros/GhanaBUO/F344/2008, complete genome",Bat coronavirus,28752,Bat coronavirus,2008,Hipposideros/GhanaBUO/F344/2008
PQ682538,"Porcine epidemic diarrhea virus strain AHCZ02, complete genome",Porcine epidemic diarrhea virus,28179,Porcine epidemic diarrhea virus (PEDV),Oct-2022,Unknown
PQ140053,"Infectious bronchitis virus isolate ck/IN/A2332039-001/24, complete genome",Infectious bronchitis virus,27610,Infectious bronchitis virus,Feb-2024,ck/IN/A2332039-001/24
PQ869635,"Hedgehog coronavirus 1 isolate Erinaceus/FR/22-7137/2022/complete genome, complete genome",Hedgehog coronavirus 1,30092,Hedgehog coronavirus 1,Nov-2022,Erinaceus/FR/22-7137/2022/complete genome
PQ869634,"Hedgehog coronavirus 1 isolate Erinaceus/FR/22-3151/2023/complete genome, complete genome",Hedgehog coronavirus 1,30105,Hedgehog coronavirus 1,Jan-2023,Erinaceus/FR/22-3151/2023/complete genome
PV000776,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/KOR/2016-001, complete genome",Middle East respiratory syndrome-related coronavirus,29823,Middle East respiratory syndrome-related coronavirus (MERS-CoV),2016,MERS-CoV/KOR/2016-001
