,accession,seq_definition,seq_length,GBSeq_organism,GBSeq_taxonomy,GBReference_title,Submission_Date,organism,mol_type,strain,host,country,db_xref,segment,collection_date
0,CS434760,Sequence 121 from Patent WO2006104381,83,Betapapillomavirus 3,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus,Identification of beta-papillomavirus dna by type-specific reverse hybridization,24-OCT-2006,Betapapillomavirus 3,unassigned DNA,,,,taxon:334207,,
1,MK620822,"Human papillomavirus 5 strain HPV5/S10-CNI/CO/2018 E7 gene, partial cds; E1, E2, and L2 genes, complete cds; and L1 gene, partial cds",6576,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Nasal virome of children in isolated Colombian villages,22-MAY-2019,Human papillomavirus 5,genomic DNA,HPV5/S10-CNI/CO/2018,Homo sapiens,Colombia,taxon:333923,,2018
2,NC_001531,"Human papillomoavirus type 5, complete genome",7746,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Nucleotide sequence and genome organization of human papillomavirus type 5,02-AUG-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
3,KY848453,"Human papillomavirus 5 isolate HPV/EGY/2015/EI-4 L1 major capsid protein gene, partial cds",170,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Oncogenic papillomavirus and polyomavirus in urban sewage in Egypt,24-MAY-2017,Human papillomavirus 5,genomic DNA,,Homo sapiens,Egypt,taxon:333923,,2015
4,M17463,"Human papillomoavirus type 5, complete genome",7746,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Nucleotide sequence and genome organization of human papillomavirus type 5,02-AUG-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
5,HW350051,JP 2013534810-A/22: FAST RESULTS HYBRID CAPTURE ASSAY AND ASSOCIATED STRATEGICALLY-TRUNCATED PROBES,7746,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,FAST RESULTS HYBRID CAPTURE ASSAY AND ASSOCIATED STRATEGICALLY-TRUNCATED PROBES,28-JAN-2014,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
6,JN211194,"Human papillomavirus type 5 isolate S401, complete genome",7746,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Subtypes of HPV reveal selection for silent mutations in L1,05-JUN-2013,Human papillomavirus 5,genomic DNA,,Homo sapiens,Japan,taxon:333923,,2009
7,U49481,"Human papillomavirus type 5 variant E14 L1 capsid protein gene, partial cds",446,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,31-JUL-1996,Human papillomavirus 5,genomic DNA,E14,,,taxon:333923,,
8,U49480,"Human papillomavirus type 5 variant NAf2 L1 capsid protein gene, partial cds",446,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,31-JUL-1996,Human papillomavirus 5,genomic DNA,NAf2,,,taxon:333923,,
9,U49479,"Human papillomavirus type 5 variant E13 L1 capsid protein gene, partial cds",446,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,31-JUL-1996,Human papillomavirus 5,genomic DNA,E13,,,taxon:333923,,
